Actor 1,Actor 2,Similarity Rating,Is Alias
APT-C-23,None,0.0,False
APT-C-36,WIRTE,0.6,False
APT1,Ke3chang,0.43,False
APT12,APT30,0.63,False
APT16,Indrik Spider,0.22,False
APT17,POLONIUM,0.27,False
APT18,Metador,0.46,False
APT19,APT32,0.45,False
APT28,APT29,0.45,False
APT29,UNC2452,1.0,True
APT3,APT41,0.5,False
APT30,TA459,0.63,False
APT32,Lazarus Group,0.51,False
APT33,MuddyWater,0.46,False
APT34,OilRig,1.0,True
APT37,Sharpshooter,0.5,False
APT38,Operation Wocao,0.43,False
APT39,Dragonfly 2.0,0.49,False
APT41,APT3,0.5,False
APT5,FIN13,0.42,False
Ajax Security Team,APT30,0.58,False
Akira,Scattered Spider,0.31,False
Andariel,Elderwood,0.46,False
Aoqin Dragon,Ferocious Kitten,0.41,False
Aquatic Panda,Metador,0.43,False
Axiom,Dragonfly,0.29,False
BITTER,APT-C-36,0.5,False
BRONZE BUTLER,MuddyWater,0.51,False
BackdoorDiplomacy,Volatile Cedar,0.35,False
BlackOasis,Dust Storm,0.58,False
BlackTech,Mofang,0.48,False
Blue Mockingbird,APT41,0.41,False
Bouncing Golf,None,0.0,False
CURIUM,Dark Caracal,0.43,False
Carbanak,PittyTiger,0.45,False
Charming Kitten,None,0.0,False
Charming Kitten,None,0.0,False
Chimera,Operation Wocao,0.55,False
Cinnamon Tempest,Blue Mockingbird,0.38,False
Cleaver,PittyTiger,0.32,False
Cobalt Group,Patchwork,0.47,False
Confucius,Sidewinder,0.59,False
CopyKittens,DarkHydrus,0.4,False
CostaRicto,PittyTiger,0.32,False
Dark Caracal,CURIUM,0.43,False
DarkHydrus,Nomadic Octopus,0.57,False
DarkVishnya,Thrip,0.47,False
Darkhotel,Sidewinder,0.47,False
Deep Panda,ToddyCat,0.36,False
DragonOK,None,0.0,False
Dragonfly,Dragonfly 2.0,0.76,False
Dragonfly 2.0,Dragonfly,0.76,False
Dust Storm,BlackOasis,0.58,False
EXOTIC LILY,Mofang,0.46,False
Earth Lusca,MuddyWater,0.47,False
Elderwood,Mofang,0.71,False
Ember Bear,TA505,0.54,False
Equation,Strider,0.26,False
Evilnum,Cobalt Group,0.35,False
FIN10,Silence,0.46,False
FIN13,APT41,0.49,False
FIN4,Mofang,0.52,False
FIN5,PittyTiger,0.43,False
FIN6,FIN8,0.48,False
FIN7,LazyScripter,0.51,False
FIN8,Wizard Spider,0.52,False
Ferocious Kitten,IndigoZebra,0.62,False
Fox Kitten,APT39,0.45,False
Frankenstein,Gamaredon Group,0.51,False
GALLIUM,menuPass,0.48,False
GCMAN,Fox Kitten,0.22,False
GOLD SOUTHFIELD,Thrip,0.33,False
Gallmaker,APT30,0.53,False
Gamaredon Group,Frankenstein,0.51,False
Gelsemium,GOLD SOUTHFIELD,0.19,False
Gorgon Group,Nomadic Octopus,0.55,False
Group5,Metador,0.27,False
HAFNIUM,Magic Hound,0.41,False
HEXANE,Magic Hound,0.43,False
Higaisa,Darkhotel,0.47,False
Honeybee,Patchwork,0.41,False
Inception,Confucius,0.54,False
IndigoZebra,Ferocious Kitten,0.62,False
Indrik Spider,Aquatic Panda,0.34,False
Ke3chang,Chimera,0.5,False
Kimsuky,Lazarus Group,0.52,False
LAPSUS$,Scattered Spider,0.29,False
Lazarus Group,Kimsuky,0.52,False
LazyScripter,TA2541,0.56,False
Leafminer,APT33,0.32,False
Leviathan,Patchwork,0.42,False
Lotus Blossom,None,0.0,False
LuminousMoth,Patchwork,0.41,False
MONSOON,Patchwork,1.0,True
Machete,Rancor,0.49,False
Magic Hound,Sandworm Team,0.52,False
Malteiro,Molerats,0.42,False
Metador,APT18,0.46,False
Moafee,Ember Bear,0.22,False
Mofang,Elderwood,0.71,False
Molerats,Mofang,0.54,False
Moses Staff,Volatile Cedar,0.39,False
MoustachedBouncer,CopyKittens,0.25,False
MuddyWater,Sidewinder,0.57,False
