Actor 1,Actor 2,Similarity Rating,Is Alias
APT-C-23,None,0.0,False
APT-C-36,TA2541,0.71,False
APT1,Threat Group-3390,0.52,False
APT12,GALLIUM,0.3,False
APT16,None,0.0,False
APT17,None,0.0,False
APT18,Honeybee,0.5,False
APT19,Frankenstein,1.0,False
APT28,APT38,0.47,False
APT29,UNC2452,1.0,True
APT3,Evilnum,0.71,False
APT30,None,0.0,False
APT32,APT38,0.63,False
APT33,APT38,0.47,False
APT34,OilRig,1.0,True
APT37,None,0.0,False
APT38,DarkHydrus,0.71,False
APT39,FIN6,0.57,False
APT41,HEXANE,0.63,False
APT5,APT38,0.63,False
Ajax Security Team,Magic Hound,0.43,False
Akira,FIN6,0.67,False
Andariel,None,0.0,False
Aoqin Dragon,None,0.0,False
Aquatic Panda,None,0.0,False
Axiom,None,0.0,False
BITTER,None,0.0,False
BRONZE BUTLER,GALLIUM,0.57,False
BackdoorDiplomacy,Mustang Panda,0.58,False
BlackOasis,None,0.0,False
BlackTech,Moses Staff,1.0,False
Blue Mockingbird,DarkHydrus,1.0,False
Bouncing Golf,None,0.0,False
CURIUM,None,0.0,False
Carbanak,Stolen Pencil,0.82,False
Charming Kitten,None,0.0,False
Charming Kitten,None,0.0,False
Chimera,APT38,0.63,False
Cinnamon Tempest,HAFNIUM,0.41,False
Cleaver,Stolen Pencil,1.0,False
Cobalt Group,Stolen Pencil,0.82,False
Confucius,None,0.0,False
CopyKittens,Frankenstein,1.0,False
CostaRicto,Moses Staff,0.58,False
Dark Caracal,None,0.0,False
DarkHydrus,Blue Mockingbird,1.0,False
DarkVishnya,Moses Staff,0.71,False
Darkhotel,None,0.0,False
Deep Panda,ToddyCat,0.67,False
DragonOK,None,0.0,False
Dragonfly,Dragonfly 2.0,0.94,False
Dragonfly 2.0,Dragonfly,0.94,False
Dust Storm,None,0.0,False
EXOTIC LILY,None,0.0,False
Earth Lusca,Volt Typhoon,0.47,False
Elderwood,None,0.0,False
Ember Bear,None,0.0,False
Equation,None,0.0,False
Evilnum,Inception,1.0,False
FIN10,Frankenstein,1.0,False
FIN13,Indrik Spider,0.5,False
FIN4,None,0.0,False
FIN5,Cobalt Group,0.58,False
FIN6,Stolen Pencil,0.71,False
FIN7,TA505,0.67,False
FIN8,HAFNIUM,0.58,False
Ferocious Kitten,Tropic Trooper,1.0,False
Fox Kitten,Moses Staff,0.71,False
Frankenstein,CopyKittens,1.0,False
GALLIUM,BRONZE BUTLER,0.57,False
GCMAN,None,0.0,False
GOLD SOUTHFIELD,MuddyWater,0.33,False
Gallmaker,None,0.0,False
Gamaredon Group,Deep Panda,0.58,False
Gelsemium,DarkHydrus,1.0,False
Gorgon Group,LazyScripter,0.63,False
Group5,None,0.0,False
HAFNIUM,Moses Staff,0.71,False
HEXANE,APT41,0.63,False
Higaisa,Rancor,0.71,False
Honeybee,APT18,0.5,False
Inception,Evilnum,1.0,False
IndigoZebra,None,0.0,False
Indrik Spider,Stolen Pencil,0.71,False
Ke3chang,Volt Typhoon,0.71,False
Kimsuky,Stolen Pencil,0.71,False
LAPSUS$,DarkHydrus,1.0,False
Lazarus Group,Carbanak,0.52,False
LazyScripter,Gorgon Group,0.63,False
Leafminer,Stolen Pencil,0.71,False
