Actor 1,Actor 2,Similarity Rating,Is Alias
APT-C-23,None,0.0,False
APT-C-36,TA2541,0.3,False
APT1,admin@338,0.29,False
APT12,APT30,0.11,False
APT16,Indrik Spider,0.04,False
APT17,Leviathan,0.16,False
APT18,Higaisa,0.22,False
APT19,CopyKittens,0.67,False
APT28,APT38,0.21,False
APT29,UNC2452,1.0,True
APT3,Inception,0.28,False
APT30,TA459,0.11,False
APT32,Chimera,0.36,False
APT33,MuddyWater,0.23,False
APT34,OilRig,1.0,True
APT37,APT19,0.2,False
APT38,Sandworm Team,0.34,False
APT39,Threat Group-3390,0.28,False
APT41,Threat Group-3390,0.46,False
APT5,PittyTiger,0.31,False
Ajax Security Team,Magic Hound,0.19,False
Akira,FIN6,0.24,False
Andariel,Higaisa,0.29,False
Aoqin Dragon,Ferocious Kitten,0.07,False
Aquatic Panda,Chimera,0.4,False
Axiom,Higaisa,0.26,False
BITTER,APT-C-36,0.08,False
BRONZE BUTLER,Tonto Team,0.3,False
BackdoorDiplomacy,GALLIUM,0.33,False
BlackOasis,Dust Storm,0.1,False
BlackTech,Moses Staff,0.36,False
Blue Mockingbird,Whitefly,0.38,False
Bouncing Golf,None,0.0,False
CURIUM,Dark Caracal,0.07,False
Carbanak,Thrip,0.32,False
Charming Kitten,Charming Kitten,0.5,True
Charming Kitten,Charming Kitten,0.5,True
Chimera,APT19,0.54,False
Cinnamon Tempest,LuminousMoth,0.34,False
Cleaver,Thrip,0.37,False
Cobalt Group,Chimera,0.5,False
Confucius,Scattered Spider,0.37,False
CopyKittens,APT19,0.67,False
CostaRicto,BlackTech,0.23,False
Dark Caracal,CURIUM,0.07,False
DarkHydrus,Chimera,0.52,False
DarkVishnya,BlackTech,0.26,False
Darkhotel,Sidewinder,0.08,False
Deep Panda,ToddyCat,0.28,False
DragonOK,Moafee,0.35,False
Dragonfly,Dragonfly 2.0,0.79,False
Dragonfly 2.0,Dragonfly,0.79,False
Dust Storm,BlackOasis,0.1,False
EXOTIC LILY,Wizard Spider,0.14,False
Earth Lusca,Chimera,0.39,False
Elderwood,Moafee,0.16,False
Ember Bear,TA505,0.09,False
Equation,Strider,0.04,False
Evilnum,Inception,0.33,False
FIN10,Frankenstein,0.38,False
FIN13,menuPass,0.22,False
FIN4,Mofang,0.09,False
FIN5,APT39,0.24,False
FIN6,Cobalt Group,0.47,False
FIN7,TA505,0.33,False
FIN8,Wizard Spider,0.25,False
Ferocious Kitten,Tropic Trooper,0.37,False
Fox Kitten,HAFNIUM,0.38,False
Frankenstein,WIRTE,0.4,False
GALLIUM,Mustang Panda,0.37,False
GCMAN,Fox Kitten,0.04,False
GOLD SOUTHFIELD,FIN7,0.18,False
Gallmaker,APT30,0.09,False
Gamaredon Group,ToddyCat,0.25,False
Gelsemium,DarkHydrus,0.33,False
Gorgon Group,Group5,0.52,False
Group5,Gorgon Group,0.52,False
HAFNIUM,Fox Kitten,0.38,False
HEXANE,APT41,0.24,False
Higaisa,TA459,0.41,False
Honeybee,APT18,0.21,False
Inception,Evilnum,0.33,False
IndigoZebra,Moafee,0.29,False
Indrik Spider,Chimera,0.45,False
Ke3chang,Volt Typhoon,0.3,False
Kimsuky,Stolen Pencil,0.29,False
LAPSUS$,Whitefly,0.35,False
Lazarus Group,APT38,0.28,False
LazyScripter,Gorgon Group,0.48,False
Leafminer,Stolen Pencil,0.29,False
Leviathan,APT41,0.39,False
Lotus Blossom,None,0.0,False
LuminousMoth,Mustang Panda,0.41,False
MONSOON,Patchwork,1.0,True
Machete,Rancor,0.08,False
Magic Hound,Charming Kitten,0.29,True
Malteiro,Molerats,0.07,False
Metador,APT18,0.08,False
Moafee,DragonOK,0.35,False
Mofang,Elderwood,0.12,False
Molerats,Moafee,0.2,False
Moses Staff,BlackTech,0.36,False
MoustachedBouncer,CopyKittens,0.04,False
MuddyWater,FIN7,0.24,False
Mustang Panda,LuminousMoth,0.41,False
Mustard Tempest,APT19,0.37,False
NEODYMIUM,None,0.0,False
Naikon,Deep Panda,0.25,False
Night Dragon,PittyTiger,0.36,False
Nomadic Octopus,DarkHydrus,0.1,False
OilRig,APT34,1.0,False
