id,source_name,url,description,external_id
attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,Microsoft SendNotifyMessage function,https://msdn.microsoft.com/library/windows/desktop/ms644953.aspx,"Microsoft. (n.d.). SendNotifyMessage function. Retrieved December 16, 2017.",
attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,SigmaHQ,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/registry/registry_delete/registry_delete_schtasks_hide_task_via_sd_value_removal.yml,"Sittikorn S. (2022, April 15). Removal Of SD Value to Hide Schedule Task - Registry. Retrieved June 1, 2022.",
attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,haking9 libpcap network sniffing,http://recursos.aldabaknocking.com/libpcapHakin9LuisMartinGarcia.pdf,"Luis Martin Garcia. (2008, February 1). Hakin9 Issue 2/2008 Vol 3 No.2 VoIP Abuse: Storming SIP Security. Retrieved October 18, 2022.",
attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,mitre-attack,https://attack.mitre.org/techniques/T1066,,T1066
attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,Wikipedia File Header Signatures,https://en.wikipedia.org/wiki/List_of_file_signatures,"Wikipedia. (2016, March 31). List of file signatures. Retrieved April 22, 2016.",
attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,Gnome Remote Desktop gschema,https://gitlab.gnome.org/GNOME/gnome-remote-desktop/-/blob/9aa9181e/src/org.gnome.desktop.remote-desktop.gschema.xml.in,"Pascal Nowack. (n.d.). Retrieved September 21, 2021.",
attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,"WMI 7,8",https://techcommunity.microsoft.com/t5/windows-it-pro-blog/wmi-command-line-wmic-utility-deprecation-next-steps/ba-p/4039242,"Microsoft. (2024, January 26). WMIC Deprecation. Retrieved February 13, 2024.",
attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8,intezer-kaiji-malware,https://www.intezer.com/blog/research/kaiji-new-chinese-linux-malware-turning-to-golang/,"Paul Litvak. (2020, May 4). Kaiji: New Chinese Linux malware turning to Golang. Retrieved December 17, 2020.",
attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,Antiquated Mac Malware,https://blog.malwarebytes.com/threat-analysis/2017/01/new-mac-backdoor-using-antiquated-code/,"Thomas Reed. (2017, January 18). New Mac backdoor using antiquated code. Retrieved July 5, 2017.",
attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939,Microsoft Fileless,https://learn.microsoft.com/microsoft-365/security/intelligence/fileless-threats,"Microsoft. (2023, February 6). Fileless threats. Retrieved March 23, 2023.",
attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,Lau 2011,http://www.symantec.com/connect/blogs/are-mbr-infections-back-fashion,"Lau, H. (2011, August 8). Are MBR Infections Back in Fashion? (Infographic). Retrieved November 13, 2014.",
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,Mandiant APT29 Eye Spy Email Nov 22,https://www.mandiant.com/resources/blog/unc3524-eye-spy-email,"Mandiant. (2022, May 2). UNC3524: Eye Spy on Your Email. Retrieved August 17, 2023.",
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,ttint_rat,https://blog.netlab.360.com/ttint-an-iot-remote-control-trojan-spread-through-2-0-day-vulnerabilities/,"Tu, L. Ma, Y. Ye, G. (2020, October 1). Ttint: An IoT Remote Access Trojan spread through 2 0-day vulnerabilities. Retrieved October 28, 2021.",
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,US-CERT TA18-106A Network Infrastructure Devices 2018,https://us-cert.cisa.gov/ncas/alerts/TA18-106A,"US-CERT. (2018, April 20). Russian State-Sponsored Cyber Actors Targeting Network Infrastructure Devices. Retrieved October 19, 2020.",
attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,ThreatConnect Infrastructure Dec 2020,https://threatconnect.com/blog/infrastructure-research-hunting/,"ThreatConnect. (2020, December 15). Infrastructure Research and Hunting: Boiling the Domain Ocean. Retrieved October 12, 2021.",
attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,Trend Micro CPL,https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp-cpl-malware.pdf,"Merces, F. (2014). CPL Malware Malicious Control Panel Items. Retrieved November 1, 2017.",
