id,source_name,url,description,external_id
campaign--0257b35b-93ef-4a70-80dd-ad5258e6045b,The Hacker News Lazarus Aug 2022,https://thehackernews.com/2022/08/north-korea-hackers-spotted-targeting.html,"Lakshmanan, R. (2022, August 17). North Korea Hackers Spotted Targeting Job Seekers with macOS Malware. Retrieved April 10, 2023.",
campaign--26d9ebae-de59-427f-ae9a-349456bae4b1,Talos Frankenstein June 2019,https://blog.talosintelligence.com/2019/06/frankenstein-campaign.html,"Adamitis, D. et al. (2019, June 4). It's alive: Threat actors cobble together open-source pieces into monstrous Frankenstein campaign. Retrieved May 11, 2020.",
campaign--37764c78-2a99-46d1-a7ea-6454b9bf93a0,McAfee Sharpshooter December 2018,https://www.mcafee.com/enterprise/en-us/assets/reports/rp-operation-sharpshooter.pdf,"Sherstobitoff, R., Malhotra, A., et. al.. (2018, December 18). Operation Sharpshooter Campaign Targets Global Defense, Critical Infrastructure. Retrieved May 14, 2020.",
campaign--4553292d-12c6-4a93-934d-12160370d4e0,McAfee Honeybee,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,"Sherstobitoff, R. (2018, March 02). McAfee Uncovers Operation Honeybee, a Malicious Document Campaign Targeting Humanitarian Aid Groups. Retrieved May 16, 2018.",
campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,FireEye TRITON 2018,https://www.fireeye.com/blog/threat-research/2018/06/totally-tubular-treatise-on-TRITON-and-tristation.html,"Miller, S. Reese, E. (2018, June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6, 2021.",
campaign--4603cf2f-06d0-4970-9c5d-5071b08c817f,Cylance Dust Storm,https://s7d2.scene7.com/is/content/cylance/prod/cylance-web/en-us/resources/knowledge-center/resource-library/reports/Op_Dust_Storm_Report.pdf,"Gross, J. (2016, February 23). Operation Dust Storm. Retrieved December 22, 2021.",
campaign--46421788-b6e1-4256-b351-f8beffd1afba,Booz Allen Hamilton,https://www.boozallen.com/content/dam/boozallen/documents/2016/09/ukraine-report-when-the-lights-went-out.pdf,Booz Allen Hamilton   When The Lights Went Out Retrieved. 2019/10/22 ,
campaign--4c840263-bbda-440d-a22b-674679ddebf1,ESET Operation Spalax Jan 2021,https://www.welivesecurity.com/2021/01/12/operation-spalax-targeted-malware-attacks-colombia/,"M. Porolli. (2021, January 21). Operation Spalax: Targeted malware attacks in Colombia. Retrieved September 16, 2022.",
campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,Volexity Ivanti Zero-Day Exploitation January 2024,https://www.volexity.com/blog/2024/01/10/active-exploitation-of-two-zero-day-vulnerabilities-in-ivanti-connect-secure-vpn/,"Meltzer, M. et al. (2024, January 10). Active Exploitation of Two Zero-Day Vulnerabilities in Ivanti Connect Secure VPN. Retrieved February 27, 2024.",
campaign--519ee082-8ab6-439b-988f-a8a3f02c8d30,Cisco Talos Avos Jun 2022,https://blog.talosintelligence.com/avoslocker-new-arsenal/,"Venere, G. Neal, C. (2022, June 21). Avos ransomware group expands with new attack arsenal. Retrieved January 11, 2023.",
campaign--712e38c3-a656-426a-9b3b-a6bfb63294c6,Microsoft Unidentified Dec 2018,https://www.microsoft.com/security/blog/2018/12/03/analysis-of-cyberattack-on-u-s-think-tanks-non-profits-public-sector-by-unidentified-attackers/,"Microsoft Defender Research Team. (2018, December 3). Analysis of cyberattack on U.S. think tanks, non-profits, public sector by unidentified attackers. Retrieved April 15, 2019.",
campaign--78068e68-4124-4243-b6f4-76e4e5be8a06,DFIR Conti Bazar Nov 2021,https://thedfirreport.com/2021/11/29/continuing-the-bazar-ransomware-story/,"DFIR Report. (2021, November 29). CONTInuing the Bazar Ransomware Story. Retrieved September 29, 2022.",
campaign--7854c1a0-f06c-4876-98a4-4bbd34751b05,ESET Dukes October 2019,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,"Faou, M., Tartare, M., Dupuy, T. (2019, October). OPERATION GHOST. Retrieved September 23, 2020.",
campaign--7ec2826c-0bf0-4b47-acae-fd683431a4ca,FireEye TRITON 2019,https://www.fireeye.com/blog/threat-research/2019/04/triton-actor-ttp-profile-custom-attack-tools-detections.html,"Miller, S, et al. (2019, April 10). TRITON Actor TTP Profile, Custom Attack Tools, Detections, and ATT&CK Mapping. Retrieved April 16, 2019.",
campaign--808d6b30-df4e-4341-8248-724da4bac650,Unit 42 SolarStorm December 2020,https://unit42.paloaltonetworks.com/solarstorm-supply-chain-attack-timeline/,"Unit 42. (2020, December 23). SolarStorm Supply Chain Attack Timeline. Retrieved March 24, 2023.",
campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,Bitdefender FunnyDream Campaign November 2020,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,"Vrabie, V. (2020, November). Dissecting a Chinese APT Targeting South Eastern Asian Government Institutions. Retrieved September 19, 2022.",
campaign--93c23946-49af-41f4-ac03-40f9ffc7419b,Cybereason OperationCuckooBees May 2022,https://www.cybereason.com/blog/operation-cuckoobees-deep-dive-into-stealthy-winnti-techniques,"Cybereason Nocturnus. (2022, May 4). Operation CuckooBees: Deep-Dive into Stealthy Winnti Techniques. Retrieved September 22, 2022.",
campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,welivesec_strongpity,https://www.welivesecurity.com/2023/01/10/strongpity-espionage-campaign-targeting-android-users/,"Stefanko, L. (2023, January 10). StrongPity espionage campaign targeting Android users. Retrieved January 31, 2023.",
campaign--aa73efef-1418-4dbe-b43c-87a498e97234,Dragos Crashoverride 2018,https://www.dragos.com/wp-content/uploads/CRASHOVERRIDE2018.pdf,"Joe Slowik. (2018, October 12). Anatomy of an Attack: Detecting and Defeating CRASHOVERRIDE. Retrieved December 18, 2020.",
campaign--ab747e62-1bcb-479f-a26b-1cd39d413d81,Mandiant UNC3890 Aug 2022,https://www.mandiant.com/resources/blog/suspected-iranian-actor-targeting-israeli-shipping,"Mandiant Israel Research Team. (2022, August 17). Suspected Iranian Actor Targeting Israeli Shipping, Healthcare, Government and Energy Sectors. Retrieved September 21, 2022.",
campaign--ae407e32-87e0-4d92-8705-3ae25d504d8a,McAfee Night Dragon,https://scadahacker.com/library/Documents/Cyber_Events/McAfee%20-%20Night%20Dragon%20-%20Global%20Energy%20Cyberattacks.pdf,"McAfee® Foundstone® Professional Services and McAfee Labs™. (2011, February 10). Global Energy Cyberattacks: “Night Dragon”. Retrieved February 19, 2018.",
campaign--b03d5112-e23a-4ac8-add0-be7502d24eff,FoxIT Wocao December 2019,https://www.fox-it.com/media/kadlze5c/201912_report_operation_wocao.pdf,"Dantzig, M. v., Schamper, E. (2019, December 19). Operation Wocao: Shining a light on one of China’s hidden hacking groups. Retrieved October 8, 2020.",
campaign--b4e5a4a9-f3be-4631-ba8f-da6ebb067fac,Cisco Talos Transparent Tribe Education Campaign July 2022,https://blog.talosintelligence.com/2022/07/transparent-tribe-targets-education.html,"N. Baisini. (2022, July 13). Transparent Tribe begins targeting education sector in latest campaign. Retrieved September 22, 2022.",
