id,source_name,url,description,external_id
course-of-action--00d7d21b-69d6-4797-88a2-c86f3fc97651,Microsoft Install Password Filter n.d,https://msdn.microsoft.com/library/windows/desktop/ms721766.aspx,"Microsoft. (n.d.). Installing and Registering a Password Filter DLL. Retrieved November 21, 2017.",
course-of-action--02f0f92a-0a51-4c94-9bda-6437b9a93f22,mitre-attack,https://attack.mitre.org/mitigations/T1151,,T1151
course-of-action--03c0c586-50ed-45a7-95f4-f496d7eb5330,Securing bash history,http://www.akyl.net/securing-bashhistory-file-make-sure-your-linux-system-users-won%E2%80%99t-hide-or-delete-their-bashhistory,"Mathew Branwell. (2012, March 21). Securing .bash_history file. Retrieved July 8, 2017.",
course-of-action--0472af99-f25c-4abe-9fce-010fa3450e72,Microsoft MS14-025,http://support.microsoft.com/kb/2962486,"Microsoft. (2014, May 13). MS14-025: Vulnerability in Group Policy Preferences could allow elevation of privilege. Retrieved January 28, 2015.",
course-of-action--06160d81-62be-46e5-aa37-4b9c645ffa31,Wikipedia Control Flow Integrity,https://en.wikipedia.org/wiki/Control-flow_integrity,"Wikipedia. (2018, January 11). Control-flow integrity. Retrieved March 12, 2018.",
course-of-action--0640214c-95af-4c04-a574-2a1ba6dda00b,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--06824aa2-94a5-474c-97f6-57c2e983d885,Re-Open windows on Mac,https://support.apple.com/en-us/HT204005,"Apple. (2016, December 6). Automatically re-open windows, apps, and documents on your Mac. Retrieved July 11, 2017.",
course-of-action--073cc04d-ac46-4f5a-85d7-83a91ecd6a19,mitre-attack,https://attack.mitre.org/mitigations/T1166,,T1166
course-of-action--08e02f67-ea09-4f77-a70b-414963c29fc2,PaloAlto Preventing Opportunistic Attacks Apr 2016,https://live.paloaltonetworks.com/t5/Ignite-2016-Blog/Breakout-Recap-Cybersecurity-Best-Practices-Part-1-Preventing/ba-p/75913,"Kiwi. (2016, April 6). Breakout Recap: Cybersecurity Best Practices Part 1 - Preventing Opportunistic Attacks. Retrieved October 3, 2018.",
course-of-action--0b3ee33e-430b-476f-9525-72d120c90f8d,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--0bc3ce00-83bc-4a92-a042-79ffbc6af259,FireEye WMI 2015,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-windows-management-instrumentation.pdf,"Ballenthin, W., et al. (2015). Windows Management Instrumentation (WMI) Offense, Defense, and Forensics. Retrieved March 30, 2016.",
course-of-action--1022138b-497c-40e6-b53a-13351cbd4090,Seclists Kanthak 7zip Installer,http://seclists.org/fulldisclosure/2015/Dec/34,"Kanthak, S. (2015, December 8). Executable installers are vulnerable^WEVIL (case 7): 7z*.exe	allows remote code execution with escalation of privilege. Retrieved March 10, 2017.",
course-of-action--10571bf2-8073-4edf-a71c-23bad225532e,NSA MS AppLocker,https://apps.nsa.gov/iaarchive/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm,"NSA Information Assurance Directorate. (2014, August). Application Whitelisting Using Microsoft AppLocker. Retrieved March 31, 2016.",
course-of-action--121b2863-5b97-4538-acb3-f8aae070ec13,mitre-attack,https://attack.mitre.org/mitigations/T1159,,T1159
course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,mitre-attack,https://attack.mitre.org/mitigations/M1031,,M1031
course-of-action--12c13879-b7bd-4bc5-8def-aacec386d432,Secure Host Baseline EMET,https://github.com/iadgov/Secure-Host-Baseline/tree/master/EMET,"National Security Agency. (2016, May 4). Secure Host Baseline EMET. Retrieved June 22, 2016.",
course-of-action--12cba7de-0a22-4a56-b51e-c514c67c3b43,mitre-attack,https://attack.mitre.org/mitigations/T1147,,T1147
course-of-action--13cad982-35e3-4340-9095-7124b653df4b,mitre-attack,https://attack.mitre.org/mitigations/T1213,,T1213
course-of-action--14b63e6b-7531-4476-9e60-02cc5db48b62,Wikipedia Control Flow Integrity,https://en.wikipedia.org/wiki/Control-flow_integrity,"Wikipedia. (2018, January 11). Control-flow integrity. Retrieved March 12, 2018.",
course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,mitre-attack,https://attack.mitre.org/mitigations/M1016,,M1016
course-of-action--159b4ee4-8fa1-44a5-b095-2973f3c7e25e,Harmj0y Domain Trusts,http://www.harmj0y.net/blog/redteaming/a-guide-to-attacking-domain-trusts/,"Schroeder, W. (2017, October 30). A Guide to Attacking Domain Trusts. Retrieved February 14, 2019.",
course-of-action--160af6af-e733-4b6a-a04a-71c620ac0930,mitre-attack,https://attack.mitre.org/mitigations/T1072,,T1072
course-of-action--16a8ac85-a06f-460f-ad22-910167bd7332,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--16dd03c6-0dfb-4d77-89cd-9ff3ee6e533d,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--16f144e4-c780-4ed2-98b4-55d14e2dfa44,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--1881da33-fdf2-4eea-afd0-e04caf9c000f,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--19edfa02-1a5f-47e4-ad82-3288f57f64cf,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--1a7f5bd3-f6ee-4bd7-b949-2f3632ad6158,mitre-attack,https://attack.mitre.org/mitigations/T1144,,T1144
course-of-action--1c0711c8-2a73-48a1-893d-ff88bcd23824,University of Birmingham C2,https://arxiv.org/ftp/arxiv/papers/1408/1408.1136.pdf,"Gardiner, J.,  Cova, M., Nagaraja, S. (2014, February). Command & Control Understanding, Denying and Detecting. Retrieved April 20, 2016.",
course-of-action--1c0b39f9-a0c5-42b2-abd8-dc8f1eb74e67,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--1c6bc7f3-d517-4971-aed4-8f939090846b,Beechey 2010,http://www.sans.org/reading-room/whitepapers/application/application-whitelisting-panacea-propaganda-33599,"Beechey, J. (2010, December). Application Whitelisting: Panacea or Propaganda?. Retrieved November 18, 2014.",
course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,mitre-attack,https://attack.mitre.org/mitigations/M1035,,M1035
course-of-action--1e4ef2c7-ee96-4484-9baa-3b5777561301,applescript signing,https://www.engadget.com/2013/10/23/applescript-and-automator-gain-new-features-in-os-x-mavericks/,"Steven Sande. (2013, December 23). AppleScript and Automator gain new features in OS X Mavericks. Retrieved September 21, 2018.",
course-of-action--1e614ba5-2fc5-4464-b512-2ceafb14d76d,SpectorOPs SettingContent-ms Jun 2018,https://posts.specterops.io/the-tale-of-settingcontent-ms-files-f1ea253e4d39,"Nelson, M. (2018, June 11). The Tale of SettingContent-ms Files. Retrieved April 18, 2019.",
course-of-action--1f34230d-b6ae-4dc7-8599-78c18820bd21,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,mitre-attack,https://attack.mitre.org/mitigations/M1029,,M1029
course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,mitre-attack,https://attack.mitre.org/mitigations/M1037,,M1037
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,mitre-attack,https://attack.mitre.org/mitigations/M1021,,M1021
course-of-action--23061b40-a7b6-454f-8950-95d5ff80331c,SpectorOps Code Signing Dec 2017,https://posts.specterops.io/code-signing-certificate-cloning-attacks-and-defenses-6f98657fc6ec,"Graeber, M. (2017, December 22). Code Signing Certificate Cloning Attacks and Defenses. Retrieved April 3, 2018.",
course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,mitre-attack,https://attack.mitre.org/mitigations/M1033,,M1033
course-of-action--23bff3ce-021c-4e7a-9aee-60fd40bc7c6c,mitre-attack,https://attack.mitre.org/mitigations/T1169,,T1169
course-of-action--24478001-2eb3-4b06-a02e-96b3d61d27ec,University of Birmingham C2,https://arxiv.org/ftp/arxiv/papers/1408/1408.1136.pdf,"Gardiner, J.,  Cova, M., Nagaraja, S. (2014, February). Command & Control Understanding, Denying and Detecting. Retrieved April 20, 2016.",
course-of-action--245075bc-f992-4d89-af8c-834c53d403f4,mitre-attack,https://attack.mitre.org/mitigations/T1493,,T1493
course-of-action--2497ac92-e751-4391-82c6-1b86e34d0294,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--25d5e1d8-c6fb-4735-bc57-115a21222f4b,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitre-attack,https://attack.mitre.org/mitigations/M1013,,M1013
course-of-action--25e53928-6f33-49b7-baee-8180578286f6,TCG Trusted Platform Module,http://www.trustedcomputinggroup.org/wp-content/uploads/Trusted-Platform-Module-Summary_04292008.pdf,"Trusted Computing Group. (2008, April 29). Trusted Platform Module (TPM) Summary. Retrieved June 8, 2016.",
course-of-action--28adf6fd-ab6c-4553-9aa7-cef18a191f33,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,mitre-attack,https://attack.mitre.org/mitigations/M1034,,M1034
course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,mitre-attack,https://attack.mitre.org/mitigations/M1017,,M1017
course-of-action--2a8de25c-f743-4348-b101-3ee33ab5871b,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--2ace01f8-67c8-43eb-b7b1-a7b9f1fe67e1,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,mitre-attack,https://attack.mitre.org/mitigations/M1052,,M1052
course-of-action--2c3ce852-06a2-40ee-8fe6-086f6402a739,mitre-attack,https://attack.mitre.org/mitigations/T1062,,T1062
course-of-action--2d704e56-e689-4011-b989-bf4e025a8727,mitre-attack,https://attack.mitre.org/mitigations/T1150,,T1150
course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,mitre-attack,https://attack.mitre.org/mitigations/M1028,,M1028
course-of-action--308855d1-078b-47ad-8d2a-8f9b2713ffb5,TechNet Applocker vs SRP,https://technet.microsoft.com/en-us/library/ee791851.aspx,"Microsoft. (2012, June 27). Using Software Restriction Policies and AppLocker Policies. Retrieved April 7, 2016.",
