id,source_name,url,description,external_id
tool--03342581-f790-4f03-ba41-e82e67392e23,Savill 1999,https://web.archive.org/web/20150511162820/http://windowsitpro.com/windows/netexe-reference,"Savill, J. (1999, March 4). Net.exe reference. Retrieved September 22, 2015.",
tool--03c6e0ea-96d3-4b23-9afb-05055663cf4b,Trend Micro Muddy Water March 2021,https://www.trendmicro.com/en_us/research/21/c/earth-vetala---muddywater-continues-to-target-organizations-in-t.html,"Peretz, A. and Theck, E. (2021, March 5). Earth Vetala – MuddyWater Continues to Target Organizations in the Middle East. Retrieved March 18, 2021.",
tool--066b057c-944e-4cfc-b654-e3dfba04b926,GitHub Bloodhound,https://github.com/BloodHoundAD/BloodHound,"Robbins, A., Vazarkar, R., and Schroeder, W. (2016, April 17). Bloodhound: Six Degrees of Domain Admin. Retrieved March 5, 2019.",
tool--0a68f1f1-da74-4d28-8d9a-696c082706cc,TechNet Certutil,https://technet.microsoft.com/library/cc732443.aspx,"Microsoft. (2012, November 14). Certutil. Retrieved July 3, 2017.",
tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952,TechNet At,https://technet.microsoft.com/en-us/library/bb490866.aspx,"Microsoft. (n.d.). At. Retrieved April 28, 2016.",
tool--102c3898-85e0-43ee-ae28-62a0a3ed9507,Github UACMe,https://github.com/hfiref0x/UACME,"UACME Project. (2016, June 16). UACMe. Retrieved July 26, 2016.",
tool--115f88dd-0618-4389-83cb-98d33ae81848,FOX-IT May 2016 Mofang,https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf,"Yonathan Klijnsma. (2016, May 17). Mofang: A politically motivated information stealing adversary. Retrieved May 12, 2020.",
tool--11f8d7eb-1927-4806-9267-3a11d4d4d6be,Bishop Fox Sliver Framework August 2019,https://labs.bishopfox.com/tech-blog/sliver,"Kervella, R. (2019, August 4). Cross-platform General Purpose Implant Framework Written in Golang. Retrieved July 30, 2021.",
tool--1244e058-fa10-48cb-b484-0bcf671107ae,GitHub SILENTTRINITY March 2022,https://github.com/byt3bl33d3r/SILENTTRINITY,"Salvati, M (2019, August 6). SILENTTRINITY. Retrieved March 23, 2022.",
tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d,PowerSploit Documentation,http://powersploit.readthedocs.io,"PowerSploit. (n.d.). PowerSploit. Retrieved February 6, 2018.",
tool--1b3b8f96-43b1-4460-8e02-1f53d7802fb9,GitHub Pacu,https://github.com/RhinoSecurityLabs/pacu,"Rhino Security Labs. (2019, August 22). Pacu. Retrieved October 17, 2019.",
tool--242f3da3-4425-4d11-8f5c-b842886da966,Amplia WCE,http://www.ampliasecurity.com/research/wcefaq.html,"Amplia Security. (n.d.). Windows Credentials Editor (WCE) F.A.Q.. Retrieved December 17, 2015.",
tool--26c87906-d750-42c5-946c-d4162c73fc7b,Impacket Tools,https://www.secureauth.com/labs/open-source-tools/impacket,"SecureAuth. (n.d.).  Retrieved January 15, 2019.",
tool--294e2560-bd48-44b2-9da2-833b5588ad11,TechNet Ipconfig,https://technet.microsoft.com/en-us/library/bb490921.aspx,"Microsoft. (n.d.). Ipconfig. Retrieved April 17, 2016.",
tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756,AADInternals Github,https://github.com/Gerenios/AADInternals,"Dr. Nestori Syynimaa. (2021, December 13). AADInternals. Retrieved February 1, 2022.",
tool--2e45723a-31da-4a7e-aaa6-e01998a6788f,Microsoft Tasklist,https://technet.microsoft.com/en-us/library/bb491010.aspx,"Microsoft. (n.d.). Tasklist. Retrieved December 23, 2015.",
tool--2f7f03bb-f367-4a5a-ad9b-310a12a48906,FireEye Maze May 2020,https://www.fireeye.com/blog/threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html,"Kennelly, J., Goody, K., Shilko, J. (2020, May 7). Navigating the MAZE: Tactics, Techniques and Procedures Associated With MAZE Ransomware Incidents. Retrieved May 18, 2020.",
tool--2fab555f-7664-4623-b4e0-1675ae38190b,Mandiant APT1,https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf,"Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.",
tool--30489451-5886-4c46-90c9-0dff9adc5252,TechNet Arp,https://technet.microsoft.com/en-us/library/bb490864.aspx,"Microsoft. (n.d.). Arp. Retrieved April 17, 2016.",
tool--33b9e38f-103c-412d-bdcf-904a91fff1e4,NCC Group APT15 Alive and Strong,https://research.nccgroup.com/2018/03/10/apt15-is-alive-and-strong-an-analysis-of-royalcli-and-royaldns/,"Smallridge, R. (2018, March 10). APT15 is alive and strong: An analysis of RoyalCli and RoyalDNS. Retrieved April 4, 2018.",
tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3,NCSC Joint Report Public Tools,https://www.ncsc.gov.uk/report/joint-report-on-publicly-available-hacking-tools,"The Australian Cyber Security Centre (ACSC), the Canadian Centre for Cyber Security (CCCS), the New Zealand National Cyber Security Centre (NZ NCSC), CERT New Zealand, the UK National Cyber Security Centre (UK NCSC) and the US National Cybersecurity and Communications Integration Center (NCCIC). (2018, October 11). Joint report on publicly available hacking tools. Retrieved March 11, 2019.",
tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5,Wikipedia Ifconfig,https://en.wikipedia.org/wiki/Ifconfig,"Wikipedia. (2016, January 26). ifconfig. Retrieved April 17, 2016.",
tool--38952eac-cb1b-4a71-bad2-ee8223a1c8fe,TechNet Dsquery,https://technet.microsoft.com/en-us/library/cc732952.aspx,"Microsoft. (n.d.). Dsquery. Retrieved April 18, 2016.",
tool--3a53b207-aba2-4a2b-9cdb-273d633669e7,Bitdefender FunnyDream Campaign November 2020,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,"Vrabie, V. (2020, November). Dissecting a Chinese APT Targeting South Eastern Asian Government Institutions. Retrieved September 19, 2022.",
tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079,Novetta Blockbuster Destructive Malware,https://web.archive.org/web/20160303200515/https://operationblockbuster.com/wp-content/uploads/2016/02/Operation-Blockbuster-Destructive-Malware-Report.pdf,"Novetta Threat Research Group. (2016, February 24). Operation Blockbuster: Destructive Malware Report. Retrieved March 2, 2016.",
tool--4664b683-f578-434f-919b-1c1aad2a1111,TechNet Netstat,https://technet.microsoft.com/en-us/library/bb490947.aspx,"Microsoft. (n.d.). Netstat. Retrieved April 17, 2016.",
tool--4b57c098-f043-4da2-83ef-7588a6d426bc,GitHub PoshC2,https://github.com/nettitude/PoshC2_Python,"Nettitude. (2018, July 23). Python Server for PoshC2. Retrieved April 23, 2019.",
tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe,Mandiant APT1,https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf,"Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.",
tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b,xCmd,https://ashwinrayaprolu.wordpress.com/2011/04/12/xcmd-an-alternative-to-psexec/,"Rayaprolu, A.. (2011, April 12). xCmd an Alternative to PsExec. Retrieved August 10, 2016.",
tool--5256c0f8-9108-4c92-8b09-482dfacdcd94,Cybereason Kimsuky November 2020,https://www.cybereason.com/blog/back-to-the-future-inside-the-kimsuky-kgh-spyware-suite,"Dahan, A. et al. (2020, November 2). Back to the Future: Inside the Kimsuky KGH Spyware Suite. Retrieved November 6, 2020.",
tool--59096109-a1dd-463b-87e7-a8d110fe3a79,DarkSide Ransomware Gang,https://unit42.paloaltonetworks.com/darkside-ransomware/,"Ramarcus Baylor. (2021, May 12). DarkSide Ransomware Gang: An Overview. Retrieved August 30, 2022.",
