name,description,x_mitre_platforms,x_mitre_domains,x_mitre_aliases,type,id
Net,"The [Net](https://attack.mitre.org/software/S0039) utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. (Citation: Microsoft Net Utility)

[Net](https://attack.mitre.org/software/S0039) has a great deal of functionality, (Citation: Savill 1999) much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002) using <code>net use</code> commands, and interacting with services. The net1.exe utility is executed for certain functionality when net.exe is run and can be used directly in commands such as <code>net1 user</code>.",['Windows'],['enterprise-attack'],"['Net', 'net.exe']",tool,tool--03342581-f790-4f03-ba41-e82e67392e23
RemoteUtilities,[RemoteUtilities](https://attack.mitre.org/software/S0592) is a legitimate remote administration tool that has been used by [MuddyWater](https://attack.mitre.org/groups/G0069) since at least 2021 for execution on target machines.(Citation: Trend Micro Muddy Water March 2021),['Windows'],['enterprise-attack'],['RemoteUtilities'],tool,tool--03c6e0ea-96d3-4b23-9afb-05055663cf4b
BloodHound,[BloodHound](https://attack.mitre.org/software/S0521) is an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment.(Citation: GitHub Bloodhound)(Citation: CrowdStrike BloodHound April 2018)(Citation: FoxIT Wocao December 2019),['Windows'],['enterprise-attack'],['BloodHound'],tool,tool--066b057c-944e-4cfc-b654-e3dfba04b926
certutil,[certutil](https://attack.mitre.org/software/S0160) is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services. (Citation: TechNet Certutil),['Windows'],['enterprise-attack'],"['certutil', 'certutil.exe']",tool,tool--0a68f1f1-da74-4d28-8d9a-696c082706cc
at,[at](https://attack.mitre.org/software/S0110) is used to schedule tasks on a system to run at a specified date or time.(Citation: TechNet At)(Citation: Linux at),"['Linux', 'Windows', 'macOS']",['enterprise-attack'],"['at', 'at.exe']",tool,tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952
UACMe,[UACMe](https://attack.mitre.org/software/S0116) is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system. (Citation: Github UACMe),,['enterprise-attack'],,tool,tool--102c3898-85e0-43ee-ae28-62a0a3ed9507
ShimRatReporter,"[ShimRatReporter](https://attack.mitre.org/software/S0445) is a tool used by suspected Chinese adversary [Mofang](https://attack.mitre.org/groups/G0103) to automatically conduct initial discovery. The details from this discovery are used to customize follow-on payloads (such as [ShimRat](https://attack.mitre.org/software/S0444)) as well as set up faux infrastructure which mimics the adversary's targets. [ShimRatReporter](https://attack.mitre.org/software/S0445) has been used in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development.(Citation: FOX-IT May 2016 Mofang)",['Windows'],['enterprise-attack'],['ShimRatReporter'],tool,tool--115f88dd-0618-4389-83cb-98d33ae81848
Sliver,"[Sliver](https://attack.mitre.org/software/S0633) is an open source, cross-platform, red team command and control framework written in Golang.(Citation: Bishop Fox Sliver Framework August 2019)","['Windows', 'Linux', 'macOS']",['enterprise-attack'],['Sliver'],tool,tool--11f8d7eb-1927-4806-9267-3a11d4d4d6be
SILENTTRINITY,"[SILENTTRINITY](https://attack.mitre.org/software/S0692) is an open source remote administration and post-exploitation framework primarily written in Python that includes stagers written in Powershell, C, and Boo. [SILENTTRINITY](https://attack.mitre.org/software/S0692) was used in a 2019 campaign against Croatian government agencies by unidentified cyber actors.(Citation: GitHub SILENTTRINITY March 2022)(Citation: Security Affairs SILENTTRINITY July 2019)",['Windows'],['enterprise-attack'],['SILENTTRINITY'],tool,tool--1244e058-fa10-48cb-b484-0bcf671107ae
PowerSploit,"[PowerSploit](https://attack.mitre.org/software/S0194) is an open source, offensive security framework comprised of [PowerShell](https://attack.mitre.org/techniques/T1059/001) modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration. (Citation: GitHub PowerSploit May 2012) (Citation: PowerShellMagazine PowerSploit July 2014) (Citation: PowerSploit Documentation)",['Windows'],['enterprise-attack'],['PowerSploit'],tool,tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d
Pacu,Pacu is an open-source AWS exploitation framework. The tool is written in Python and publicly available on GitHub.(Citation: GitHub Pacu),['IaaS'],['enterprise-attack'],['Pacu'],tool,tool--1b3b8f96-43b1-4460-8e02-1f53d7802fb9
Windows Credential Editor,[Windows Credential Editor](https://attack.mitre.org/software/S0005) is a password dumping tool. (Citation: Amplia WCE),['Windows'],['enterprise-attack'],"['Windows Credential Editor', 'WCE']",tool,tool--242f3da3-4425-4d11-8f5c-b842886da966
Impacket,"[Impacket](https://attack.mitre.org/software/S0357) is an open source collection of modules written in Python for programmatically constructing and manipulating network protocols. [Impacket](https://attack.mitre.org/software/S0357) contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks.(Citation: Impacket Tools)","['Linux', 'macOS', 'Windows']",['enterprise-attack'],['Impacket'],tool,tool--26c87906-d750-42c5-946c-d4162c73fc7b
ipconfig,"[ipconfig](https://attack.mitre.org/software/S0100) is a Windows utility that can be used to find information about a system's TCP/IP, DNS, DHCP, and adapter configuration. (Citation: TechNet Ipconfig)",,['enterprise-attack'],['ipconfig'],tool,tool--294e2560-bd48-44b2-9da2-833b5588ad11
AADInternals,"[AADInternals](https://attack.mitre.org/software/S0677) is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.(Citation: AADInternals Github)(Citation: AADInternals Documentation)","['Windows', 'Azure AD', 'Office 365']",['enterprise-attack'],['AADInternals'],tool,tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756
Tasklist,The [Tasklist](https://attack.mitre.org/software/S0057) utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface. (Citation: Microsoft Tasklist),,['enterprise-attack'],['Tasklist'],tool,tool--2e45723a-31da-4a7e-aaa6-e01998a6788f
ngrok,[ngrok](https://attack.mitre.org/software/S0508) is a legitimate reverse proxy tool that can create a secure tunnel to servers located behind firewalls or on local machines that do not have a public IP. [ngrok](https://attack.mitre.org/software/S0508) has been leveraged by threat actors in several campaigns including use for lateral movement and data exfiltration.(Citation: Zdnet Ngrok September 2018)(Citation: FireEye Maze May 2020)(Citation: Cyware Ngrok May 2019)(Citation: MalwareBytes LazyScripter Feb 2021),['Windows'],['enterprise-attack'],['ngrok'],tool,tool--2f7f03bb-f367-4a5a-ad9b-310a12a48906
Lslsass,[Lslsass](https://attack.mitre.org/software/S0121) is a publicly-available tool that can dump active logon session password hashes from the lsass process. (Citation: Mandiant APT1),['Windows'],['enterprise-attack'],['Lslsass'],tool,tool--2fab555f-7664-4623-b4e0-1675ae38190b
Arp,[Arp](https://attack.mitre.org/software/S0099) displays and modifies information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp),"['Linux', 'Windows', 'macOS']",['enterprise-attack'],"['Arp', 'arp.exe']",tool,tool--30489451-5886-4c46-90c9-0dff9adc5252
